830,"Cadena Comercial OXXO, S.A. de C.V.",Vialidad Ch-P CUU,Vialidad Ch-P Esq Calle 92,8812,Chihuahua
831,"Cadena Comercial OXXO, S.A. de C.V.",V. Carranza CUU,Av.Venustiano Carranza,2621,Chihuahua
832,"Cadena Comercial OXXO, S.A. de C.V.",San Ángel CUU,P. De La Juventud, A 147M De Av. La Cantera Loc 22,Chihuahua
833,"Cadena Comercial OXXO, S.A. de C.V.",Infonavit CUU,Pedro De Alvarado,8100,Chihuahua
834,"Cadena Comercial OXXO, S.A. de C.V.",Vistas del Norte CUF,Av. Rio Cisnes y Calle Rio Atuel, S/N,Chihuahua
835,"Cadena Comercial OXXO, S.A. de C.V.",Villa Dorada CUU,Libertadores,9701,Chihuahua
836,"Cadena Comercial OXXO, S.A. de C.V.",Meraz CUU,Periferico Francisco R. Almada,3601,Chihuahua
837,"Cadena Comercial OXXO, S.A. de C.V.",Isabella CUU,Av. Haciendas Del Real y Hacienda Isabella, S/N,Chihuahua
838,"Cadena Comercial OXXO, S.A. de C.V.",El Granillo CUU,Carretera Santa Barbara  - El Granillo, S/N,Chihuahua
839,"Cadena Comercial OXXO, S.A. de C.V.",Marlo CUU,Av. Agustin Melgar y Av. Juarez, S/N,Chihuahua
840,"Cadena Comercial OXXO, S.A. de C.V.",Oxford CUU,Vialidad De La Juventud Esq  Univ. De Oxford,8735,Chihuahua
841,"Cadena Comercial OXXO, S.A. de C.V.",Parque del Moro CUU,Av. Equus y Calle Parque Del Moro, S/N,Chihuahua
842,"Cadena Comercial OXXO, S.A. de C.V.",Francisco Márquez CUU,Av. Guillermo Prieto y Calle Francisco Marquez, S/N,Chihuahua
843,"Cadena Comercial OXXO, S.A. de C.V.",Anáhuac CUU,Av. Del Ejido y Calle 19, S/N,Chihuahua
844,"Cadena Comercial OXXO, S.A. de C.V.",Interamericana CUU,H. Colegio Militar,4505,Chihuahua
845,"Cadena Comercial OXXO, S.A. de C.V.",Maya CUU,Chichimeca y Maya,8016,Chihuahua
846,"Cadena Comercial OXXO, S.A. de C.V.",San Judas CUU,Carret. Chihuahua- Delicias Parcela 180 Z-5 P1/2, S/N,Chihuahua
847,"Cadena Comercial OXXO, S.A. de C.V.",Amazonas CUU,Rio Amazonas y Rio Colorado, S/N,Chihuahua
848,"Cadena Comercial OXXO, S.A. de C.V.",Zarco CUU,Flores Magon,6210,Chihuahua
849,"Cadena Comercial OXXO, S.A. de C.V.",Quiosco CUU,Carretera Chihuahua - Delicias Km 209, S/N,Chihuahua
850,"Cadena Comercial OXXO, S.A. de C.V.",Quiroz Cuaron CUU,Av. Allende y Calle 9ª, S/N,Chihuahua
851,"Cadena Comercial OXXO, S.A. de C.V.",Santa Rita CUU,Carretera Chihuahua - Aldama, S/N,Chihuahua
852,"Cadena Comercial OXXO, S.A. de C.V.",Mora CUF,Av. Vallarta y Priv. De Mora, S/N,Chihuahua
853,"Cadena Comercial OXXO, S.A. de C.V.",Vistas San Guillermo CUF,Calle Topacio, S/N,Chihuahua
854,"Cadena Comercial OXXO, S.A. de C.V.",Zootecnia CUU,Periferico Fco. R. Almada Esq Calle Zoologia ,1206,Chihuahua
855,"Cadena Comercial OXXO, S.A. de C.V.",San Martin CUU,Homero,398,Chihuahua
856,"Cadena Comercial OXXO, S.A. de C.V.",Acequias RBB CJS,Av. Ramon Rivera Lara,7160,Chihuahua
857,"Cadena Comercial OXXO, S.A. de C.V.",San Pablo CJS,Av. Gomez Morin,895,Chihuahua
858,"Cadena Comercial OXXO, S.A. de C.V.",Adolfo de la Huerta RCJS,Av. De La Raza,4503,Chihuahua
859,"Cadena Comercial OXXO, S.A. de C.V.",Florida CJS,Av. Vicente Guerrero,9005,Chihuahua
860,"Cadena Comercial OXXO, S.A. de C.V.",Aero Juárez CJS,Miguel De La Madrid,8924,Chihuahua
861,"Cadena Comercial OXXO, S.A. de C.V.",Panamericana CJS,Ave. Tecnologico, 5312-2,Chihuahua
862,"Cadena Comercial OXXO, S.A. de C.V.",Acacias CJS,Puerta Del Sol,3130,Chihuahua
863,"Cadena Comercial OXXO, S.A. de C.V.",Av. De la Raza CJS,Av De La Raza,6375,Chihuahua
864,"Cadena Comercial OXXO, S.A. de C.V.",Curva Morfin CJS,Manuel Gomez Morin,7396,Chihuahua
865,"Cadena Comercial OXXO, S.A. de C.V.",Arizona CJS,Av. Libramiento Regional,8150,Chihuahua
866,"Cadena Comercial OXXO, S.A. de C.V.",Becerro CJS,Av. Ejercito Nacional,7230,Chihuahua
867,"Cadena Comercial OXXO, S.A. de C.V.",Suc. Montebello CJS,Pedro Rosales De Leon,7994,Chihuahua
868,"Cadena Comercial OXXO, S.A. de C.V.",Plaza Benza CJS,Juarez Porvenir Esquina Poniente,1325,Chihuahua
869,"Cadena Comercial OXXO, S.A. de C.V.",Fco. Sarabia CJS,Francisco Sarabia,347,Chihuahua
870,"Cadena Comercial OXXO, S.A. de C.V.",Bosques CJS,Paseo De La Victoria,2811,Chihuahua
871,"Cadena Comercial OXXO, S.A. de C.V.",Villa Ahumada CJS,Miguel Ahumada, S/N,Chihuahua
872,"Cadena Comercial OXXO, S.A. de C.V.",Bolivia CJS,Ignacio Mejia,1318,Chihuahua
873,"Cadena Comercial OXXO, S.A. de C.V.",Camboya CJS,Blvd. Zaragoza,7250,Chihuahua
874,"Cadena Comercial OXXO, S.A. de C.V.",Búfalo CJS,Bufalo, 1825 Int 1,Chihuahua
875,"Cadena Comercial OXXO, S.A. de C.V.",Garambullo CJS,Av. Manuel J. Clouthier,8314,Chihuahua
876,"Cadena Comercial OXXO, S.A. de C.V.",B. Independencia CJS,Blvd Independencia,1570,Chihuahua
877,"Cadena Comercial OXXO, S.A. de C.V.",Clohutier CJS,Iris, 760 Int 2,Chihuahua
878,"Cadena Comercial OXXO, S.A. de C.V.",Clara CJS,Paseo Triunfo De La Republica,3407,Chihuahua
879,"Cadena Comercial OXXO, S.A. de C.V.",Sierra Madre CJS,Blvd. Oscar Flores,5004,Chihuahua
880,"Cadena Comercial OXXO, S.A. de C.V.",Casas Grandes CJS,Carret. A Casas Grandes,3721,Chihuahua
881,"Cadena Comercial OXXO, S.A. de C.V.",Ejercito Nacional RCJS,Av. Ejercito Nacional,8694,Chihuahua
